2026-02-10 15:25:11.838490 | hr_user | HR | salary structure | GRANTED
2026-02-10 15:26:10.443531 | hr_user | HR | salary structure | GRANTED
2026-02-10 15:28:47.174155 | hr_user | HR | salary structure | GRANTED
2026-02-10 15:41:03.638872 | hr_user | HR | salary structure | GRANTED
2026-02-10 19:12:39.833398 | hr_user | HR | salary structure | GRANTED
2026-02-10 19:15:10.490613 | hr_user | HR | What is the HR leave policy? | GRANTED
2026-02-10 19:22:26.388384 | hr_user | HR | What is the HR leave policy? | DENIED
2026-02-10 19:23:04.330433 | hr_user | HR | What is the company revenue? | DENIED
2026-02-10 19:23:43.567221 | hr_user | HR | What is the HR leave policy? | DENIED
2026-02-10 19:23:49.555771 | hr_user | HR | What is the HR leave policy? | DENIED
2026-02-10 19:23:50.838012 | hr_user | HR | What is the HR leave policy? | DENIED
2026-02-10 19:23:52.865586 | hr_user | HR | What is the HR leave policy? | DENIED
2026-02-11 18:56:40.737364 | hr_user | HR | What is HR leave policy? | DENIED
2026-02-11 19:17:31.935987 | hr_user | HR |  What is the HR leave policy?  | GRANTED
2026-02-11 19:23:03.896820 | hr_user | HR |  What is the HR leave policy?  | GRANTED
2026-02-11 19:23:47.841869 | hr_user | HR | What is the company revenue? | GRANTED
2026-02-17 15:08:50.275210 | hr_user | HR |  what is hr leave policy? | GRANTED
2026-02-17 15:09:39.054464 | hr_user | HR |  what is financial revenue? | GRANTED
2026-02-17 15:27:17.514617 | hr_user | hr | leave policy | GRANTED
2026-02-17 18:48:25.832410 | hr_user | hr | leave policy | GRANTED
2026-02-17 18:53:00.939505 | hr_user | hr | leave policy | GRANTED
