2026-02-12 12:01:39.710666 | user=alice | role=Finance | endpoint=/rag-chunks | query=leave policy | status=ALLOWED
2026-02-12 12:06:55.708212 | user=alice | role=Finance | endpoint=/rag-answer | query=leave policy | status=ALLOWED
2026-02-12 12:13:52.935352 | user=alice | role=Finance | endpoint=/rag-chunks | query=leave policy | status=ALLOWED
2026-02-12 12:31:24.231105 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-12 12:37:40.125295 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-12 13:08:38.771618 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-12 13:09:36.376705 | user=alice | role=Finance | endpoint=/rag-chunks | query=Quaterly Revenue | status=ALLOWED
2026-02-12 13:09:46.171157 | user=alice | role=Finance | endpoint=/rag-chunks | query=Quarterly Revenue | status=ALLOWED
2026-02-12 13:28:52.947226 | user=mark | role=Marketing | endpoint=/rag-chunks | query=Quarterly Revenue | status=ALLOWED
2026-02-12 13:45:52.864102 | user=mark | role=Marketing | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-13 12:42:35.984931 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-13 12:43:29.379926 | user=alice | role=Finance | endpoint=/rag-chunks | query=Quarterly Revenue | status=ALLOWED
2026-02-13 12:58:24.986383 | user=alice | role=Finance | endpoint=/rag-chunks | query=system architecture | status=ALLOWED
2026-02-13 13:07:45.883303 | user=alice | role=Finance | endpoint=/rag-chunks | query=leave policy | status=ALLOWED
2026-02-13 13:08:26.939092 | user=alice | role=Finance | endpoint=/rag-chunks | query=quarterly report | status=ALLOWED
2026-02-13 13:09:25.391031 | user=alice | role=Finance | endpoint=/rag-chunks | query=benchmarks | status=ALLOWED
2026-02-13 13:36:12.545662 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-16 13:18:09.690404 | user=alice | role=Finance | endpoint=/rag-chunks | query=Leave Policy | status=ALLOWED
2026-02-16 13:27:15.473396 | user=alice | role=Finance | endpoint=/rag-chunks | query=Projections & Targets | status=DENIED
2026-02-16 13:28:21.312669 | user=ceo | role=C-Level | endpoint=/rag-chunks | query=Projections & Targets | status=ALLOWED
2026-02-16 18:29:33.853596 | user=mark | role=Marketing | endpoint=/rag-answer | query=Projections & Targets | status=ALLOWED
2026-02-16 18:29:39.129362 | user=mark | role=Marketing | endpoint=/rag-answer | query=Projections & Targets | status=ALLOWED
2026-02-16 18:31:16.501706 | user=mark | role=Marketing | endpoint=/rag-answer | query=Projections & Targets | status=ALLOWED
2026-02-16 18:53:10.222254 | user=alice | role=Finance | endpoint=/rag-answer | query=Quarterly Revenue | status=ALLOWED
2026-02-16 18:53:49.326636 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 10:41:46.685064 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 11:23:58.240607 | user=alice | role=Finance | endpoint=/rag-answer | query=Projections & Targets | status=DENIED
2026-02-17 11:24:24.130172 | user=alice | role=Finance | endpoint=/rag-answer | query=Quarterly revenue | status=ALLOWED
2026-02-17 11:55:34.843015 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 11:55:40.212049 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 12:14:24.458196 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 12:17:51.686779 | user=alice | role=Finance | endpoint=/rag-answer | query=What is the Leave Policy? | status=ALLOWED
2026-02-17 12:29:10.105655 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 12:40:26.625168 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-17 12:45:01.273461 | user=alice | role=Finance | endpoint=/rag-answer | query=What is the Leave Policy? | status=ALLOWED
2026-02-17 12:51:52.709311 | user=alice | role=Finance | endpoint=/rag-answer | query=What is the Leave Policy? | status=ALLOWED
2026-02-17 12:51:58.125727 | user=alice | role=Finance | endpoint=/rag-answer | query=What is the Leave Policy? | status=ALLOWED
2026-02-17 13:27:29.201067 | user=alice | role=Finance | endpoint=/rag-answer | query=What is the Leave Policy? | status=ALLOWED
2026-02-17 13:28:26.289588 | user=alice | role=Finance | endpoint=/rag-answer | query=What is quarterly revenue? | status=ALLOWED
2026-02-17 14:04:05.368382 | user=alice | role=Finance | endpoint=/rag-answer | query=What is Quarterly Revenue? | status=ALLOWED
2026-02-17 14:04:34.503011 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy? | status=ALLOWED
2026-02-17 14:05:03.657982 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-22 14:35:08.754971 | user=alice | role=Finance | endpoint=/rag-answer | query=Leave Policy | status=ALLOWED
2026-02-22 14:35:56.987701 | user=alice | role=Finance | endpoint=/rag-answer | query=Quarterly Revenue | status=ALLOWED
2026-02-22 14:36:52.704638 | user=alice | role=Finance | endpoint=/rag-answer | query=Projections & Targets | status=DENIED
